"LGName","LabelName","LGOrder","DictTranslation(eng)","DictTranslation(spa)","DictTranslation(por)","DictTranslation(fre)","DictTechHelp(eng)","DictTechHelp(spa)","DictTechHelp(por)","DictTechHelp(fre)","DictBasDesc(eng)","DictBasDesc(spa)","DictBasDesc(por)","DictBasDesc(fre)","DictFullDesc(eng)","DictFullDesc(spa)","DictFullDesc(por)","DictFullDesc(fre)"
"Event","Magnitude","3","Magnitude","Magnitud","Magnitude","Ampleur","Value of magnitude","Valor de magnitud","Valor de magnitude","Value of magnitude","The magnitude of the Event. In this field internationally-used values of magnitude are registered (ie; the Richter scale for earthquakes; the Saffir Simpson scale for hurricanes); quantified variables (wind speed; area of landslide; cubic centimetres of earth fallen; value of rainfall; etc) or brief descriptions such as – light; medium; high; extreme – etc.","Magnitud del evento. En este campo se registran los valores de magnitud internacionalmente usados (i.e. escala de Richter para sismos; escala de Saffir Simpson para huracanes); variables cuantificadas (velocidad de los vientos; área del deslizamiento; centímetros cúbicos de tierra deslizada; valor de las precipitaciones; etc.) o descripciones breves tales como -leve-; -medio-; -alto-; -extremo-; etc.","Magnitude do evento. Neste campo registram-se os valores de magnitude usados internacionalmente (por exemplo; a escala Richter para sismos ou a escala Saffir Simpson para furacões); variáveis quantitativas (velocidade dos ventos; área do escorregamento; metros cúbicos de terra escorregada; valor das precipitações; etc.) ou adjetivos qualitativos tais como leve; médio; alto ou extremo.","The magnitude of the Event. In this field internationally-used values of magnitude are registered (ie; the Richter scale for earthquakes; the Saffir Simpson scale for hurricanes); quantified variables (wind speed; area of landslide; cubic centimetres of earth fallen; value of rainfall; etc) or brief descriptions such as – light; medium; high; extreme – etc.","This corresponds to internationally-used values of magnitude for seismic events; volcanic eruptions; tsunami; hurricanes or tropical storms. For other types of events; the user may include quantified variables such as wind speed; height in metres of torrential flows or floods; amount of rainfall in a place in a 24 hour period; volume area of a landslide or deposit. The same units should be used for every type of variable: km/hr; m; mm/day; m2; m3; km3. If a work team has (or develops) a methodology to measure the magnitude of the disaster; it is recommended that they create a field in the section Additional Effects.","Corresponde con valores de magnitud internacionalmente usadas para los eventos sismo; erupción volcánica; tsunami; huracán - tormenta tropical. Para otros tipos de evento el usuario podrá incluir variables cuantificadas tales como velocidad de vientos; alturas en metros de avenidas torrenciales e inundaciones; cantidad de lluvia en un sitio en 24 horas; área volumen de un deslizamiento o de un depósito. Se utiliza siempre las mismas unidades para cada tipo de variable: km/hora; m; mm/día; m2; m3; km3. Si algún equipo de trabajo tiene (o desarrolla) una metodología para medir las magnitudes de los desastres; se recomienda que cree un campo en la sección de  Efectos Adicionales.","Correspondente aos valores de magnitude internacionalmente usados para eventos sísmicos; erupção vulcânica; tsunami e furacão - tempestade tropical. Para outros tipos de evento o usuário poderá incluir variáveis quantitativas; tais como velocidade dos ventos; nível de enxurradas e inundações; quantidade de chuva em 24 horas num local; área e/ou volume de um escorregamento. Sempre são utilizadas as mesmas unidades para cada tipo de variável: km/h; m; mm/dia; m2; m3; km3. Se alguma equipe de trabalho tem (ou desenvolve) uma metodologia para medir as magnitudes dos desastres; recomenda-se que se crie um campo na seção de Efeitos Adicionais.","This corresponds to internationally-used values of magnitude for seismic events; volcanic eruptions; tsunami; hurricanes or tropical storms. For other types of events; the user may include quantified variables such as wind speed; height in metres of torrential flows or floods; amount of rainfall in a place in a 24 hour period; volume area of a landslide or deposit. The same units should be used for every type of variable: km/hr; m; mm/day; m2; m3; km3. If a work team has (or develops) a methodology to measure the magnitude of the disaster; it is recommended that they create a field in the section Additional Effects."
"Event","Notes","4","Observation about the event","Observaciones de evento","Observações de evento","Observation sur l'événement","Text or key words","Texto o palabras claves","Texto ou palavras-chave","Text or key words","A brief description of the occurrence of the event. In the case of chain events or simultaneous events; these should also be included in the description.","Descripción corta de la ocurrecia del evento. En el caso de eventos en cadena; eventos simultáneos incluye descripción de lo ocurrido.","Descrição sucinta da ocorrência do evento. Nos casos de eventos em cadeia ou eventos simultâneos; incluir a descrição do ocorrido.","A brief description of the occurrence of the event. In the case of chain events or simultaneous events; these should also be included in the description."," "," "," "," "
"Cause","Name","1","Type of cause","Tipo de causa","Causa","Cause","Select from the list","Seleccione de la lista","Selecione da lista","Select from the list","The phenomenon which immediately caused the event. Normally disasters are caused by a combination of circumstances relating to the socio-cultural; economic; political and historical environment; which may combine with an event to detonate the disaster; whether this is a phenomenon of natural or anthropological origin.","Fenómeno inmediato que causó el evento. Normalmente las causas del desastre son una combinación de circunstancias propias del entorno sociocultural; económico; político e histórico; que se combinan con el evento detonante del desastre; sea éste un fenómeno de origen natural o antrópico.","Fenômeno imediato que causou o evento. Normalmente as causas do desastre são uma combinação de circunstâncias próprias do entorno socio-cultural; econômico; político e histôrico; que se combinam com o evento detonante do desastre; seja de origem natural ou antrópica.","The phenomenon which immediately caused the event. Normally disasters are caused by a combination of circumstances relating to the socio-cultural; economic; political and historical environment; which may combine with an event to detonate the disaster; whether this is a phenomenon of natural or anthropological origin.","The theme of multi-causality of disasters is still an area for academic and conceptual debate; and one which DesInventar does not intend to cover. One of the objectives of DesInventar’s methodology; and precisely one of the motives for its development; is to validate or improve hypotheses about the relationship between disasters and conditions of vulnerability.  For that reason; it should try to facilitate the relation between the inventories and other social; economic or environmental variables. In this sense; a group of causes has been predefined whose application is not always evident or direct. In some cases; the cause is attributed to phenomena of wider spatial or energy coverage (earthquakes; hurricanes; etc.) which would thus encapsulate other; obviously fundamental; variables such as planning and use of soils; overcrowding and deterioration of life conditions for large sections of the population; etc. It is recommended that the use of the causes – Other Cause – and – Unknown – be avoided; without first revising carefully the list of causes. Then; depending on necessity and context; a cause can be created.","El tema de la multicausalidad de los desastres es todavía un terreno de discusión académica y conceptual que no pretendemos agotar en DesInventar. Uno de los propósitos de la metodología DesInventar; y justamente uno de los motivos de su desarrollo; es validar o mejorar hipótesis sobre relaciones entre desastres y condiciones de vulnerabilidad. Para ello debe buscarse facilitar la relación entre los inventarios y otras variables sociales; económicas y medioambientales. En este sentido; se han predefinido un conjunto de causas cuya aplicación no siempre es evidente o directa. En algunos casos la causa se atribuye a fenómenos de mayor cobertura espacial y energía (sismos; huracanes; etc.); caso en el cual se -encubren- las demás variables que obviamente son fundamentales; como la planificación y usos del suelo; el hacinamiento y deterioro de las condiciones de vida de amplios segmentos de la población; etc.  Se recomienda evitar el uso de las causas -Otra causa- y -Desconocida-; antes de revisar exhaustivamente la lista de causas y; dependiendo de las necesidades y del contexto; crear la que haga falta.","A multi-causalidade dos desastres é um tema ainda em discussão acadêmica e epistemológica que não se pretende esgotar em DesInventar. Um dos propósitos da metodologia DesInventar; e justamente uma das motivações do seu desenvolvimento; é validar ou melhorar hipóteses sobre relações entre desastres e condições de vulnerabilidade. Para isto deve-se facilitar a relação entre os inventários e outras variáveis sociais; econômicas e meio-ambientais. Neste sentido; têm-se predefinido um conjunto de causas cuja aplicação nem sempre é evidente ou direta. Em alguns casos a causa se atribui a fenômenos de maior cobertura espacial e energia (sismos; furações; etc.); caso no qual se -encobrem- as demais variáveis que obviamente são fundamentais; tais como a planificação e o uso do solo; a superlotação e a deterioração das condições de vida de amplos segmentos da população; etc. Recomenda-se evitar o uso das causas -Outra causa- e -Desconhecida-; antes de revisar exaustivamente a lista de causas e; dependendo das necessidades e do contexto; criar a que estiver faltando.","The theme of multi-causality of disasters is still an area for academic and conceptual debate; and one which DesInventar does not intend to cover. One of the objectives of DesInventar’s methodology; and precisely one of the motives for its development; is to validate or improve hypotheses about the relationship between disasters and conditions of vulnerability.  For that reason; it should try to facilitate the relation between the inventories and other social; economic or environmental variables. In this sense; a group of causes has been predefined whose application is not always evident or direct. In some cases; the cause is attributed to phenomena of wider spatial or energy coverage (earthquakes; hurricanes; etc.) which would thus encapsulate other; obviously fundamental; variables such as planning and use of soils; overcrowding and deterioration of life conditions for large sections of the population; etc. It is recommended that the use of the causes – Other Cause – and – Unknown – be avoided; without first revising carefully the list of causes. Then; depending on necessity and context; a cause can be created."
"Cause","Notes","2","Observations about the cause","Observaciones de causa","Observações de causa","Observations sur la cause","Text or key words","Texto o palabras claves","Texto ou palavras-chave","Text or key words","A brief annotation of the relationship between the cause and the event. This field is a very important in terms of analysis of the database because here would be described those causes which complement or contextualise the one registered in the field Cause.","Anotación breve de las relaciones ente la causa y el evento. Es un campo muy importante para los análisis de la base de datos pues en este se pueden describir aquellas causas que complementan o contextualizan la registrada en el campo Causa.","Anotação breve das relações entre a causa e o evento. É um campo muito importante para as análises do banco de dados porque neste pode-se descrever as causas que complementam ou contextualizam a registrada no campo Causa","A brief annotation of the relationship between the cause and the event. This field is a very important in terms of analysis of the database because here would be described those causes which complement or contextualise the one registered in the field Cause.","Strictly speaking every disaster; however natural it may appear; occurs because of an imbalance between complex variables and dynamics of which a social environment or one of infrastructure is constructed - services and internal factors (vulnerable conditions) as much as external factors (the event of natural or anthropological origin) which bring to light the risk and lead to the event taking place. This field is included in order to register all those variables and relations to the causality of the event. For example; differences in the determination of the cause of an event; such as whether a landslide is due solely to rainfall or because of inappropriate management of a sewage system. ","En sentido estricto al evaluar cada desastre; por más natural que parezca; éste ocurre como un desajuste entre las complejas variables y dinámicas que construyeron un entorno social o de infraestructura – servicios y los factores tanto internos (condiciones de vulnerabilidad) como externos (el evento de origen natural o antrópico); que pusieron en evidencia el riesgo y que condujeron a que se materializara. Este campo se incluyó para registrar todas aquellas variables y relaciones de causalidad del evento; por ejemplo; diferencias en la determinación de la causa de un evento como si un deslizamiento ocurrió solamente por las lluvias o por el inapropiado manejo de aguas residuales.","Em sentido estrito ao avaliar cada desastre; por mais natural que aparente ser; este ocorre como conseqüência do desajuste entre as complexas variáveis e dinâmicas que construíram um entorno social (infra-estrutura-serviços) e os fatores tanto internos (condições de vulnerabilidade) quanto externos (o evento de origem natural ou antrópica); que evidenciaram o risco e conduziram a que este se materializará. Este campo foi incluído para registrar todas as variáveis e relações de causalidade do evento; por exemplo; no caso de um escorregamento; este pode ter sido causado somente por chuvas; mas também pelo manejo inadequado da rede de esgoto.","Strictly speaking every disaster; however natural it may appear; occurs because of an imbalance between complex variables and dynamics of which a social environment or one of infrastructure is constructed - services and internal factors (vulnerable conditions) as much as external factors (the event of natural or anthropological origin) which bring to light the risk and lead to the event taking place. This field is included in order to register all those variables and relations to the causality of the event. For example; differences in the determination of the cause of an event; such as whether a landslide is due solely to rainfall or because of inappropriate management of a sewage system. "
"Effect|PeopleGood","PeopleDead","1","Deaths","Muertos","Mortos","Décès","Type a number or select from the list","Digite la cantidad o seleccione de la lista","Digite a quantidade ou selecione da lista","Type a number or select from the list","The number of persons whose deaths were directly caused. When final official data is available; this figure should be included with corresponding observations; for example; when there are differences between officially accepted figures and those of other sources. Suppositions about number of deaths; not officially verified; should be registered in the field - Observations of Effects – including the source of information.","Número de personas fallecidas por causas directas. Cuando se dispone de datos oficiales finales se incluye este valor con las observaciones correspondientes; por ejemplo cuando haya diferencias entre las cifras oficialmente aceptadas y las de otras fuentes. Las presunciones sobre muertos; no verificados oficialmente; se registran en el campo -Observaciones de efectos- consignando la fuente de información.","Número de pessoas falecidas por causas diretas. Quando se dispõe de dados oficiais finais este valor se inclui com as observações correspondentes; por exemplo; quando houver diferenças entre os números oficialmente aceitos e de outras fontes. As estimativas de mortos; não verificadas oficialmente; se registram no campo -Observações de Efeitos- ingressando a fonte de informação.","The number of persons whose deaths were directly caused. When final official data is available; this figure should be included with corresponding observations; for example; when there are differences between officially accepted figures and those of other sources. Suppositions about number of deaths; not officially verified; should be registered in the field - Observations of Effects – including the source of information."," "," "," "," "
"Effect|PeopleGood","PeopleAffected","4","Affected","Afectados","Afetados","Touchés","Type a number or select from the list","Digite la cantidad o seleccione de la lista","Digite a quantidade ou selecione da lista","Type a number or select from the list","The number of persons who suffer indirect or secondary effects related to a disaster.  This refers to the number of people; distinct from victims; who suffer the impact of secondary effects of disasters for such reasons as deficiencies in public services; commerce; work; or because of isolation. If the information refers to families; calculate the number of people according to available indicators.","Número de personas que sufren efectos indirectos o secundarios asociados a un desastre. Corresponde al número de personas; diferentes a damnificados; que sufren el impacto de los efectos secundarios de los desastres por razones como deficiencias en la prestación de servicios públicos; en el comercio; o en el trabajo; o por aislamiento. Si la información aparece por familias; calcular el número de personas según indicadores disponibles.","Número de pessoas que sofreram os efeitos indiretos ou secundários associados a um desastre. Corresponde ao número de pessoas; diferentes das atingidas; que sofreram o impacto dos efeitos secundários dos desastres por razões como deficiências na prestação de serviços públicos; no comércio; no trabalho ou por isolamento. Se a informação aparecer por famílias; calcular o número de pessoas segundo indicadores disponíveis.","The number of persons who suffer indirect or secondary effects related to a disaster.  This refers to the number of people; distinct from victims; who suffer the impact of secondary effects of disasters for such reasons as deficiencies in public services; commerce; work; or because of isolation. If the information refers to families; calculate the number of people according to available indicators."," "," "," "," "
"Effect|PeopleGood","PeopleEvacuated","7","Evacuees","Evacuados","Evacuados","Évacuées","Type a number or select from the list","Digite la cantidad o seleccione de la lista","Digite a quantidade ou selecione da lista","Type a number or select from the list","The number of persons temporarily evacuated from their homes; work places; schools; hospitals; etc. If the information refers to families; calculate the number of people according to available indicators.","Número de personas evacuadas temporalmente de sus viviendas; lugares de trabajo; colegios; hospitales; etc. Si la información aparece por familias; calcular el número de personas según indicadores disponibles.","Número de pessoas evacuadas temporariamente de suas residências; locais de trabalho; colégios; hospitais; etc. Se a informação aparecer por famílias; calcular o número de pessoas segundo indicadores disponíveis.","The number of persons temporarily evacuated from their homes; work places; schools; hospitals; etc. If the information refers to families; calculate the number of people according to available indicators."," "," "," "," "
"Effect|PeopleGood","PeopleMissing","2","Missing","Desaparecidos","Desaparecidos","Disparus","Type a number or select from the list","Digite la cantidad o seleccione de la lista","Digite a quantidade ou selecione da lista","Type a number or select from the list","The number of persons whose whereabouts since the disaster is unknown. It includes people who are presumed dead; although there is no physical evidence.  The data on number of deaths and number of missing are mutually exclusive and should not be mixed.","Número de personas cuyo paradero a partir del desastre es desconocido. Incluye personas presumiblemente muertas sin evidencias físicas. Los datos de muertos y de desaparecidos son mutuamente excluyentes; por lo tanto no los mezcle.","Número de pessoas cujo paradeiro é desconhecido desde o momento do desastre. Inclui pessoas supostamente mortas; mas das quais não se têm evidência física. Os dados de mortos e desaparecidos são mutuamente excludentes; portanto não se deve misturar.","The number of persons whose whereabouts since the disaster is unknown. It includes people who are presumed dead; although there is no physical evidence.  The data on number of deaths and number of missing are mutually exclusive and should not be mixed."," "," "," "," "
"Effect|PeopleGood","PeopleRelocated","5","Relocated","Reubicados","Desabrigados","Déplacées","Type a number or select from the list","Digite la cantidad o seleccione de la lista","Digite a quantidade ou selecione da lista","Type a number or select from the list","The number of persons who have been moved permanently from their homes to new sites. If the information refers to families; calculate the number of people according to available indicators.","Número de personas que han sido trasladadas desde sus sitios de vivienda a nuevos emplazamientos permanentes. Si la información aparece por familias; calcular el número de personas según indicadores disponibles.","Número de pessoas que têm sido deslocadas desde suas moradias até novos locais permanentes. Se a informação aparecer por famílias; calcular o número de pessoas segundo indicadores disponíveis.","The number of persons who have been moved permanently from their homes to new sites. If the information refers to families; calculate the number of people according to available indicators."," "," "," "," "
"Effect|PeopleGood","PeopleHarmed","8","Victims","Damnificados","Atingidos","Sinistrées","Type a number or select from the list","Digite la cantidad o seleccione de la lista","Digite a quantidade ou selecione da lista","Type a number or select from the list","The number of persons whose goods and/or individual or collective services have suffered serious damage; directly associated with the event. For example; partial or total destruction of their homes and goods; loss of crops and/or crops stored in warehouses; etc. If the information refers to families; calculate the number of people according to available indicators.","Número de personas que han sufrido grave daño directamente asociado al evento en sus bienes y/o servicios individuales o colectivos. Por ejemplo destrucción parcial o total de su vivienda y sus bienes; pérdidas en cultivos y/o en bodegas; etc. Se deben incluir también personas reubicadas. Si la información aparece por familias; se debe calcular el número de personas según indicadores disponibles.","Número de pessoas que sofreram danos graves diretamente associados ao evento em seus bens e/ou serviços individuais ou coletivos. Por exemplo; a destruição parcial ou total da sua residência e bens ou as perdas em cultivos e/ou depósitos de colheita. Devem-se incluir também pessoas desabrigadas. Se a informação aparecer por famílias; deve-se calcular o número de pessoas segundo indicadores disponíveis.","The number of persons whose goods and/or individual or collective services have suffered serious damage; directly associated with the event. For example; partial or total destruction of their homes and goods; loss of crops and/or crops stored in warehouses; etc. If the information refers to families; calculate the number of people according to available indicators."," "," "," "," "
"Effect|PeopleGood","PeopleInjured","3","Wounded; sick","Heridos; enfermos","Feridos; doentes","Blessés; des malades","Type a number or select from the list","Digite la cantidad o seleccione de la lista","Digite a quantidade ou selecione da lista","Type a number or select from the list","The number of persons whose health or physical integrity is affected as a direct result of the disaster. This figure does not include victims who die.  Those who suffer injuries and or illness; if the event is related to a plague or epidemic; should be included here.","Número de personas que resultaron afectadas en su salud o integridad física; sin ser víctimas mortales; por causa directa del desastre. Se deben incluir las personas que sufrieron lesiones y las que quedaron enfermas si se trata de una plaga o epidemia.","Número de pessoas que foram afetadas na sua saúde ou integridade física; desconsiderando as mortes; por causa direta do desastre. Devem-se incluir as pessoas que sofreram lesões e as que ficaram doentes no caso de uma plaga ou epidemia.","The number of persons whose health or physical integrity is affected as a direct result of the disaster. This figure does not include victims who die.  Those who suffer injuries and or illness; if the event is related to a plague or epidemic; should be included here."," "," "," "," "
"Effect|PeopleGood","HousesAffected","6","Homes affected","Viv. afectadas","Residências afetadas","Maisons touchées","Type a number or select from the list","Digite la cantidad o seleccione de la lista","Digite a quantidade ou selecione da lista","Type a number or select from the list","The number of homes with minor damage; not structural or architectural; which may continue being lived in; although they may require some repair or cleaning.","Número de viviendas con daños menores; no estructurales o arquitectónicos; que pueden seguir siendo habitadas; aún cuando requieran de acciones de reparación o de limpieza.","Número de residências com danos menores; não estruturais ou arquitetônicos; que podem seguir sendo habitadas; embora requeiram ações de reparação ou de limpeza.","The number of homes with minor damage; not structural or architectural; which may continue being lived in; although they may require some repair or cleaning."," "," "," "," "
"Effect|PeopleGood","HousesDestroyed","9","Homes destroyed","Viv. destruidas","Residências atingidas","Maisons détruites","Type a number or select from the list","Digite la cantidad o seleccione de la lista","Digite a quantidade ou selecione da lista","Type a number or select from the list","The number of homes levelled; buried; collapsed or damaged to the extent that they are no longer habitable.","Número de viviendas arrasadas; sepultadas; colapsadas o deterioradas de tal manera que no son habitables.","Número de residências arrasadas; soterradas; colapsadas ou deterioradas de tal maneira que não sejam mais habitáveis.","The number of homes levelled; buried; collapsed or damaged to the extent that they are no longer habitable."," "," "," "," "
"Effect|Economic","LossesValueLocal","1","Loss value $","Valor pérdidas $","Valor perdas $","Valeur en monnaie local $","Amount in local currency","Valor en moneda local","Valor em moeda local","Amount in local currency","Sum of losses directly caused by the disaster in local currency.","Monto de las pérdidas directas causadas por el desastre en la moneda local.","Montante em moeda local das perdas diretas causadas pelo desastre.","Sum of losses directly caused by the disaster in local currency."," "," "," "," "
"Effect|Economic","LossesValueUSD","2","Loss value US$","Valor pérdidas US$","Valor perdas US$","Valeur en US $","Amount in US dollars.","Valor en dólares de EEUU","Valor em dólares de EEUU","Amount in US dollars.","The equivalent in dollars (US$) of the value of losses in local currency; according to the exchange rate on the date of the disaster. This figure is useful for comparative evaluations between databases.","Equivalente en dólares (US$) de las pérdidas en moneda local; según la tasa de cambio de moneda nacional en la fecha de ocurrencia del desastre. Este valor es útil para evaluaciones comparativas entre bases de datos.","Equivalente em dólares (US$) das perdas em moeda local; segundo a taxa de câmbio de moeda nacional na data de ocorrência do desastre. Este valor é útil para avaliações comparativas entre bancos de dados.","The equivalent in dollars (US$) of the value of losses in local currency; according to the exchange rate on the date of the disaster. This figure is useful for comparative evaluations between databases."," "," "," "," "
"Effect|Affected|SectorHealth","MedicalCenters","5","Health centres","Centros hospitalarios","Centros hospitalares","Centres de santé","Quantity","Cantidad","Quantidade","Quantity","The number of health centres; clinics; local and regional hospitals destroyed and directly or indirectly affected by the disaster.","Número de centros de salud; clínicas; hospitales locales y regionales destruidos y afectados directa o indirectamente por el desastre.","Número de centros de saúde; clínicas; hospitais locais e regionais destruídos e/ou afetados direta ou indiretamente pelo desastre.","The number of health centres; clinics; local and regional hospitals destroyed and directly or indirectly affected by the disaster."," "," "," "," "
"Effect|Affected|SectorEducation","EducationCenters","4","Educational centres","Centros de educación","Centros educativos","Centres éducatifs","Quantity","Cantidad","Quantidade","Quantity","The amount of play schools; kindergartens; schools; colleges; universities; training centres etc; destroyed or directly or indirectly affected by the disaster. Include those that have been used as temporary shelters.","Número de guarderías; escuelas; colegios; universidades; centros de capacitación; etc. destruidas y afectadas directa o indirectamente por el desastre. Incluye aquellos que han sido utilizados como albergues temporales. ","Número de creches; escolas; colégios; universidades; centros de capacitação; etc.; destruídos e afetados direta ou indiretamente pelo desastre. Inclui aqueles que têm sido utilizados como albergues temporários. ","The amount of play schools; kindergartens; schools; colleges; universities; training centres etc; destroyed or directly or indirectly affected by the disaster. Include those that have been used as temporary shelters."," "," "," "," "
"Effect|Affected|SectorAgricultural","FarmingAndForest","2","Crops and woods (Hectares)","Cultivos y bosques (Ha)","Cultivos e florestas (Ha)","Cultures et de bois (Ha)","Quantity","Cantidad","Quantidade","Quantity","The amount of cultivated or pastoral land or woods destroyed or affected. If the information exists in another measurement; it should be converted to hectares.","Número de áreas de cultivo; pastizales o bosques destruidas y afectadas. Si la información está en otra medida se deberá convertir a hectáreas. ","Área de cultivo; pastagens ou floresta destruídos e afetados. Se a informação está em outra unidade deve-se converter para hectares. ","The amount of cultivated or pastoral land or woods destroyed or affected. If the information exists in another measurement; it should be converted to hectares."," "," "," "," "
"Effect|Affected|SectorAgricultural","LiveStock","3","Livestock","Ganado","Gado","Bétail","Quantity","Cantidad","Quantidade","Quantity","The number of animals lost (bovine; pig; ovine; poultry) regardless of the type of event (flood; drought; epidemic; etc).","Número de unidades perdidas (bovinos; porcinos; caprinos; avícolas) cualquiera sea el evento (inundación; sequía; epidemia; etc.). ","Número de unidades perdidas (bovinos; suínos; caprinos; aves) qualquer que seja o evento (inundação; seca; epidemia; etc.). ","The number of animals lost (bovine; pig; ovine; poultry) regardless of the type of event (flood; drought; epidemic; etc)."," "," "," "," "
"Effect|Affected|SectorTransport","Roads","1","Routes affected","Vías afectadas (m)","Estradas afetadas (m)","Routes touchés","Quantity","Cantidad","Quantidade","Quantity","The length of transport networks destroyed and/or rendered unusable; in metres.","Longitud de redes viales destruidas y/o inhabilitadas en metros.","Comprimento; em metros; das redes viárias destruídas e/ou desabilitadas","The length of transport networks destroyed and/or rendered unusable; in metres."," "," "," "," "
"Effect|More|SectorOther","OtherLosses","1","Other losses","Otras pérdidas","Outras perdas","Autres pertes","Text","Texto","Texto","Text","A description of other losses not included in the fields of the basic record. For example: religious buildings and monuments; architectural or cultural heritage buildings; theatres and public installations; public administration buildings relating to banks; commerce and tourism; vehicles or buses lost; bridges.","Descripción de otras pérdidas no incluidas en los campos de la ficha básica. Por ejemplo: edificaciones religiosas y monumentos; patrimonio arquitectónico y cultural; escenarios e instalaciones masivas; edificios de administración pública de la banca; del comercio y del turismo; vehículos o buses perdidos; puentes.","Descrição das perdas não incluídas nos campos do formulário básico. Por exemplo: edificações religiosas e monumentos; patrimônio arquitetônico e cultural; teatros e instalações massivas; edifícios de administração pública; do comércio e do turismo; veículos ou ônibus perdidos e pontes.","A description of other losses not included in the fields of the basic record. For example: religious buildings and monuments; architectural or cultural heritage buildings; theatres and public installations; public administration buildings relating to banks; commerce and tourism; vehicles or buses lost; bridges.","A calculated or estimated value of losses due to indirect or induced effects attributable to interruptions or deficiencies in public services; trade; work or geographic isolation. If the value of these losses is not available; those effects that are not found in the fields of the record may be noted here. It is also possible to include the calculation of cost of repair or reconstruction of the damages caused by the disaster.","Valor calculado o estimado de las pérdidas debidas a efectos indirectos o inducidos; atribuibles a interrupciones o deficiencias en la prestación de servicios públicos; en el comercio; en el trabajo; así como por aislamiento geográfico. En caso de no tener el monto de estas pérdidas se pueden anotar aquellos efectos que no se encuentran en los campos de la ficha. También es posible incluir el cálculo de lo que costaría o costó la reparación o reconstrucción de los daños provocados por el desastre.","Valor calculado ou estimado das perdas devidas a efeitos indiretos ou induzidos; atribuíveis a interrupções ou deficiências na prestação de serviços públicos; no comércio; no trabalho; assim como por isolamento geográfico. No caso de não se dispor do montante destas perdas; podem-se anotar aqueles efeitos que não se encontram nos campos do formulário. Também é possível incluir o cálculo do que custaria ou custou a reparação ou a reconstrução dos danos provocados pelo desastre.","A calculated or estimated value of losses due to indirect or induced effects attributable to interruptions or deficiencies in public services; trade; work or geographic isolation. If the value of these losses is not available; those effects that are not found in the fields of the record may be noted here. It is also possible to include the calculation of cost of repair or reconstruction of the damages caused by the disaster."
"Effect|More","Notes","2","Observations about the effects","Observaciones de efectos","Observações de efeitos","Observations sur les effets","Text","Texto","Texto","Text","Notes or detail about the effects of the disaster. This field should be used to register discrepancies between effect figures when there is more than one source.","Anotaciones o ampliaciones sobre los efectos del desastre.Se usa para registrar las discrepancias entres las cifras de efectos cuando hay mas de una fuente. Al igual que los campos de observaciones de eventos y causes se para contextualizar los datos consignados en la ficha ess en esta caso para los efectos.","Anotações ou ampliações sobre os efeitos do desastre. Usa-se para registrar as discrepâncias entre as cifras de efeitos quando há mais de uma fonte. Igual aos campos de observações de eventos e causas usa-se para contextualizar os dados inseridos no formulário neste caso para os efeitos.","Notes or detail about the effects of the disaster. This field should be used to register discrepancies between effect figures when there is more than one source.","In accordance; with the sequence of fields in the Basic Record; it is recommended to use the following codes for observations (first type the code and then the corresponding observation): R. Relocated; T. Transport; Vd. Homes destroyed; Ac. Aqueduct; Va. Homes Affected; En. Energy; V. Routes; I. Industry; A. Agriculture; Al. Sewerage; P. Fishing; C. Communications; S. Health; Ma. Magnitude; Ed. Education; Fe. Date of the end of an event which covers a long period. Vp. Loss Value. ","De acuerdo con la secuencia de campos de la Ficha Básica; se recomienda utilizar las siguientes claves para las observaciones (se debe digitar la clave y a continuación la observación correspondiente): R. Reubicados; T. Transporte; Vd. Viviendas destruidas; Ac. Acueducto; Va. Viviendas afectadas; En. Energía; V. Vías; I. Industria; A. Agricultura; Al. Alcantarillado; P. Pecuario; C. Comunicaciones; S. Salud; Ma. Magnitud; Ed. Educación; Fe. Fecha de fín de un evento de largo período; Vp. Valor pérdidas.","Conforme à seqüência de campos do Formulário Básico; recomenda-se utilizar as seguintes chaves para as observações: (deve-se digitar a chave e em seguida a observação correspondente): R. Desabrigados; T. Transporte; Vd. Residências destruídas; Ac. Aqueduto; Va. Residências afetadas; En. Energia; V. Estradas; I. Indústria; A. Agricultura; Al. Esgoto; P. Pecuária; C. Comunicações; S. Saúde; Ma. Magnitude; Ed. Educação; Fe. Data do fim de um evento de período comprido; Vp. Valor das perdas.","In accordance; with the sequence of fields in the Basic Record; it is recommended to use the following codes for observations (first type the code and then the corresponding observation): R. Relocated; T. Transport; Vd. Homes destroyed; Ac. Aqueduct; Va. Homes Affected; En. Energy; V. Routes; I. Industry; A. Agriculture; Al. Sewerage; P. Fishing; C. Communications; S. Health; Ma. Magnitude; Ed. Education; Fe. Date of the end of an event which covers a long period. Vp. Loss Value. "
