"Group","Key","Value(spa)","Value(eng)","Value(por)","Value(fre)"
"di8_index","serrmsgfrm","Debe escoger un nivel de totalización y por lo menos un campo a visualizar","Choose a level to be totalled and at least one field to be visualised","Deve escolher um nível de totalização e pelo menos um campo para visualizar",
"di8_index","derrmsgfrm","Debe seleccionar por lo menos un campo","You must select at least one field","Deve selecionar pelo menos um campo",
"di8_index","balls","Todos","All","Todos",
"di8_index","bnone","Limpiar","Clean","Limpar",
"di8_index","tand","y","and","e",
"di8_index","tor","o","or","ou",
"di8_index","ttitegp","Personas y bienes","Persons and property","Pessoas e bens",
"di8_index","ttiteis","Sectores","Sectors","Setores",
"di8_index","ttitloss","Pérdidas Económicas","Economic Losses","As perdas econômicas",
"di8_index","tdate","Periodo","Range","Período",
"di8_index","ttitsince","Desde","From","Desde",
"di8_index","ttituntil","Hasta","To","Até",
"di8_index","tonly","Solamente","Only","Somente",
"di8_index","texclude","Excluir","Exclude","Excluir",
"di8_index","tinclude","Incluir","Include","Incluir",
"di8_index","tclean","Limpiar","Clean","Limpar",
"di8_index","tsend","Generar","Generate","Gerar",
"di8_index","tclose","Cerrar","Close","Fechar",
"di8_index","tmguidedef","Definición","Definition","Definição",
"di8_index","hmoreinfo","Guía metodológica","Methodological guide","Ver Guia metodológico",
"di8_index","tdescinfo","De click en el campo deseado para ver la descripción de dicho elemento","Click on the field to see a description of the element","Selecione no campo desejado para ver a descrição",
"di8_index","tcntclick","Ctrl Click para selección múltiple o deseleccionar","Ctrl+Click for multiple selection or de-selection","Ctrl + Click para seleção múltiple ou desmarcar",
"di8_index","tauxhave","Hay","There is/are","Há",
"di8_index","tauxaffect","Afectó","Affected","Afetou",
"di8_index","trepnum","Número de fichas","Reports","Formulários",
"di8_index","tabout","Correo electrónico: desinventar@desinventar.org","© 1998 – 2009 Corporación OSSO, \nCali – Colombia \nEmail: desinventar@desinventar.org","© 1998 – 2009 Corporação OSSO, \nCali – Colômbia \nCorreio eletrônico: desinventar@desinventar.org",
"di8_index","tserialmsg","Puede incluir o excluir uno o varios seriales. Los seriales debe separarlos por espacios","May include or exclude one or several serials. Serials should be separated by spaces.","Pode incluir ou excluir um ou vários seriais. Os seriais devem ser separados com espaços",
"di8_index","tserial","Seriales","Serials","Seriais",
"di8_index","tdcstatus","Estado de ficha","Data card Status","Estado de formulário",
"di8_index","tdcpublished","Publicada","Published","Publicado",
"di8_index","tdcready","Por aprobar","To aprove","Por aprovar",
"di8_index","tdcdraft","Borrador","Draft","Rascunho",
"di8_index","tdctrash","Para eliminar","To delete","Para eliminar",
"di8_index","tdateformat","Formato AAAA MM DD","Date format YYYY MM DD","Formato AAAA MM DD",
"di8_index","thlpquery","Si no selecciona nada, significa que consultará toda la base de datos","If you do not select any option, the entire database will be searched","Se não selecionar nada, significa que consultará todo o banco de dados",
"di8_index","teffhav","Hubo","There were","Houve",
"di8_index","teffhavnot","No hubo","There weren't any","Não houve",
"di8_index","teffdontknow","No sabe","Don't know","Não sabe",
"di8_index","teffmajor","Mayor o igual a","Greater than or equal to","Maior ou igual a",
"di8_index","teffminor","Menor o igual a","Less than or equal to","Menor ou igual a",
"di8_index","teffequal","Igual a","Equal to","Igual a",
"di8_index","teffbetween","Entre","Between","Entre",
"di8_index","tlike","Expresión","Like","Like*",
"di8_index","tadvqryhelp","Seleccione un campo seguido de un operador y el valor correspondiente","Select field follow of operator and value","Select field follow of operator and value*",
"di8_index","taqlessthan","Busca fichas con valores menores al especificado: ej. fecha inicio < \'1920\' o Muertos < 10","Find cards with values menores al especificado: ej. fecha inicio < \'1920\' o Muertos < 10","Find cards with values menores al especificado: ej. fecha inicio < \'1920\' o Muertos < 10*",
"di8_index","taqgreathan","Busca fichas con valores mayores al especificado: ej. fecha inicio > \'1999\' o Damnificados > 1000","Find cards with values  mayores al especificado: ej. fecha inicio > \'1999\' o Damnificados > 1000","Find cards with values  mayores al especificado: ej. fecha inicio > \'1999\' o Damnificados > 1000*",
"di8_index","taqequalto","Busca fichas con valores exactamente igual al especificado: ej. fecha inicio","Find cards with values exactamente igual al especificado: ej. fecha inicio","Find cards with values exactamente igual al especificado: ej. fecha inicio",
"di8_index","taqnoteqto","Busca fichas con valores diferentes al especificado: ej. Muertos <> 10","Find cards with values  diferentes al especificado: ej. Muertos <> 10","Find cards with values  diferentes al especificado: ej. Muertos <> 10*",
"di8_index","taqlike","Busca una palabra o frase dentro de los campos de texto. Por ejemplo: Sitio LIKE \'%cauca%\' o Fuente LIKE \'%comercio%\'","Find a word or phrase in the text fields. i.e. Sitio LIKE \'%cauca%\' or Fuente LIKE \'%comercio%\'","Encontre uma palavra ou frase nos campos de texto. Por exemplo: Sitio LIKE \'%cauca%\'* ou Fuente LIKE \'%comercio%\'",
"di8_index","taqwere","Busca fichas donde hubo ocurrencia del efecto o afectó el sector.","Find cards where there were ocurrence of effect or affect the sector.","Find cards where there were ocurrence of effect or affect the sector.*",
"di8_index","taqwerent","Busca fichas donde NO hubo ocurrencia del efecto o NO afectó el sector.","Find cards where there were not ocurrence of effect or not affect the sector.","Find cards where there were not ocurrence of effect or not affect the sector.*",
"di8_index","taqdntknow","Busca fichas donde NO se sabe si hubo o nó efectos o afectación del sector.","Find cards where where donot know if there were or not of effect or affect the sector.","Find cards where where donot know if there were or not of effect or affect the sector.*",
"di8_index","taqandopt","Busca fichas que cumplen la condición de verdad de los elementos conectados.","Find cards than apply true condition of TWO connected elements.","Find cards than apply true condition of TWO connected elements.*",
"di8_index","taqoropt","Busca fichas que cumplen la condición de verdad de alguno o ambos elementos conectados.","Find cards than apply true condition of someone or both connected elements.","Find cards than apply true condition of someone or both connected elements.*",
"di8_listdb","listdbTitle","Inventarios de Desastres disponibles","Available Disaster Inventories",,
"di8_listdb","listdbCountry","Código país","Country code","Código do país",
"di8_listdb","listdbRegion","Región","Region","Região",
"di8_listdb","listdbStatus","Estado","Status","Status",
"di8_listdb","listdbPublic","PUBLICA","PUBLIC","PUBLICO",
"di8_listdb","listdbPrivate","PRIVADA","PRIVATE","PRIVADO",
"dc_qdetails","geo","Geografía","Geography","Geografia",
"dc_qdetails","eve","Tipos de eventos","Type of events","Tipos de eventos",
"dc_qdetails","cau","Tipos de causas","Type of causes","Tipos de causas",
"dc_qdetails","eff","Efectos","Effects","Efeitos",
"dc_qdetails","beg","Desde","Since","Desde",
"dc_qdetails","end","Hasta","Until","Até",
"dc_qdetails","sou","Fuente","Data sources","Fonte",
"dc_qdetails","ser","Seriales","Serials","Seriais",
"dc_data","ttitle","Datos","Methodological guide summarize","Resumo Guia metodológico",
"dc_data","tpage","Páginas:","Pages:","Páginas:",
"dc_data","tnumof","de","From","de",
"dc_data","trepnum","Fichas","Reports","Formulários",
"dc_data","trow","Fila","Row","Fila",
"dc_thematicmap","ttitle","Mapa temático","Methodological guide summarize","Resumo Guia metodológico",
"dc_thematicmap","tmapof","Mapa de","Map of","Mapa de",
"dc_thematicmap","tdrawpoint","Puntos y polígonos","Points and polygons","Pontos e polígonos",
"dc_thematicmap","trepnum","Número de fichas","Reports","Formulários",
"dc_thematicmap","tgetgearth","Ver en GoogleEarth","View in GoogleEarth","Ver em GoogleEarth",
"dc_thematicmap","lev","Nivel","Level","Nível",
"dc_graphic","ttitle","Gráficos","Methodological guide summarize","Resumo Guia metodológico",
"dc_graphic","trepnum","Número de fichas","Reports","Formulários",
"dc_graphic","tnodata","Sin datos","No data","Sem dados",
"dc_statistic","ttitle","Consolidados","Methodological guide summarize","Resumo Guia metodológico",
"dc_statistic","tpage","Páginas:","Pages:","Páginas:",
"dc_statistic","tnumof","de","From","de",
"dc_statistic","trepnum","Fichas","Reports","Formulários",
"dc_statistic","tsumnum","Número de consolidados","Number of consolidated","Número de consolidados",
"dc_statistic","ttotals","Totales","Totals","Totais",
"dc_statistic","trow","Fila","Row","Fila",
"di_doc","ttitle","Resumen Guía metodológica","Methodological guide summarize","Resumo Guia metodológico",
"di_doc","tintro","Introducción","Introduction","Introdução",
"di_doc","twhatis","Que es DesInventar","What is DesInventar","O que é DesInventar?",
"di_doc","tgenpres","Presentación General","General Presentation","Apresentação Geral",
"di_doc","tregion","Región","Region","Região",
"di_doc","tgeography","Geografía","Geography","Geografia",
"di_doc","tevents","Tipos de eventos","Type of events","Tipos de eventos",
"di_doc","tcauses","Tipos de causas","Type of causes","Tipos de causas",
"di_doc","textraeff","Efectos Adicionales","Additional Effects","Efeitos Adicionais",
"di_doc","tdatacards","Fichas","Data cards","Formulários",
"di_doc","treferences","Referencias","References","Referências",
"di_doc","thlptitle","Introducción a DesInventar8","Introduction to DesInventar8","Introdução a DesInventar8",
"di_doc","thlpintro","Introducción","Introduction","Introdução",
"di_doc","thlpportal","Portal DesInventar","DesInventar portal","Portal DesInventar",
"di_doc","thlppordemo","Demo Portal","Demo Portal","Demo Portal",
"di_doc","thlpdimod","Módulo DesInventar","DesInventar module","Módulo DesInventar",
"di_doc","thlpdcmod","Módulo DesConsultar","DesConsultar module","Módulo DesConsultar",
"di_doc","thlpdemreg","Demo Región","Demo Region","Demo Região",
"di_doc","thlpdemgeo","Demo Geografía","Demo Geography","Demo Geografia",
"di_doc","thlpdemeve","Demo Eventos","Demo Events","Demo Eventos",
"di_doc","thlpdemcau","Demo Causas","Demo Causes","Demo Causas",
"di_doc","thlpdemdc","Demo Fichas","Demo Data cards","Demo Formulários",
